,blues,greens,reds,nirs,swir1s,swir2s,thermals,qa,dates
87,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-04-24
88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-05-01
89,260,435,337,3148,1253,460,2195,66,1986-05-08
90,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-05-10
91,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-05-17
92,302,518,386,3449,1307,565,2285,66,1986-05-24
93,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-05-26
94,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-06-02
95,353,582,443,3441,1363,516,3205,66,1986-06-09
96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-06-11
97,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-06-18
98,381,615,473,3477,1365,559,2755,66,1986-06-25
99,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-06-27
100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-07-04
101,263,466,338,3324,1351,539,2665,66,1986-07-11
102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-07-13
103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-07-20
104,317,521,470,3275,1314,543,2415,66,1986-07-27
105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-07-29
106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-08-05
107,367,515,429,2995,1321,521,2705,66,1986-08-12
108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-08-14
109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-08-21
110,20000,6078,6223,6592,5545,4396,1045,224,1986-08-28
111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-08-30
112,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-09-06
113,373,559,487,2530,1329,660,2065,66,1986-09-13
114,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-09-15
115,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-09-22
116,285,368,313,2388,1045,414,2065,66,1986-09-29
117,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-10-01
118,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-10-08
119,408,491,453,2231,972,450,2365,66,1986-10-15
120,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-10-17
121,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-10-24
122,251,356,230,1806,838,405,1885,66,1986-10-31
123,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-11-02
124,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-11-09
125,713,834,786,1725,1352,838,495,224,1986-11-16
126,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-11-25
127,723,846,782,1955,1818,1368,545,96,1986-12-02
128,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-12-11
129,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-12-20
130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1986-12-27
131,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-01-12
132,292,327,269,1272,735,315,1045,66,1987-01-19
133,235,314,224,1763,748,282,1145,66,1987-02-04
134,227,401,315,2046,863,400,1475,66,1987-02-20
135,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-03-01
