,blues,greens,reds,nirs,swir1s,swir2s,thermals,qa,dates
389,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-07-13
390,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-07-20
391,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-07-29
392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-08-05
393,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-08-14
394,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-08-21
395,765,882,841,2894,1576,700,2195,66,1992-08-28
396,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-08-30
397,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-09-06
398,351,519,416,2228,1208,497,3205,66,1992-09-13
399,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-09-15
400,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-09-22
401,669,860,720,2507,1421,679,2585,66,1992-09-29
402,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-10-01
403,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-10-08
404,465,616,560,1923,1256,603,1795,66,1992-10-15
405,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-10-17
406,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-10-24
407,385,559,512,2079,1104,588,1425,66,1992-10-31
408,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-11-02
409,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-11-09
410,390,562,458,1469,708,283,1285,66,1992-11-16
411,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-11-18
412,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-11-25
413,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-12-11
414,385,451,479,1358,634,407,705,66,1992-12-18
415,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-12-20
416,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1992-12-27
417,304,372,417,1483,675,333,655,66,1993-01-03
418,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-01-05
419,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-01-21
420,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-01-28
421,321,522,371,1939,850,351,1375,66,1993-02-04
422,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-02-06
423,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-02-13
424,703,825,664,2669,976,399,945,66,1993-02-20
425,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-02-22
426,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-03-01
427,458,631,528,2389,1058,398,1705,66,1993-03-08
428,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-03-10
429,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-04-02
430,20000,6009,5947,6765,5353,4189,-745,224,1993-04-09
431,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-04-11
432,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-04-18
433,1758,2024,1927,3876,2457,1816,-805,224,1993-04-25
434,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-04-27
435,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-05-04
436,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-05-11
437,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-05-13
438,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-05-20
439,2055,2262,2307,2989,2233,1747,-75,224,1993-05-27
440,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-05-29
441,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-06-05
442,252,444,308,3195,1279,552,2415,66,1993-06-12
443,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-06-14
444,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-06-21
445,333,486,453,3150,1312,523,2455,66,1993-06-28
446,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-06-30
447,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-07-07
448,269,481,338,3137,1359,600,2625,66,1993-07-14
449,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-07-16
450,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-07-23
451,275,425,350,3048,1273,476,2705,66,1993-07-30
452,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-08-01
453,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-08-08
454,20000,6771,6979,7063,5174,3287,945,224,1993-08-15
455,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-08-17
456,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-08-24
457,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-08-31
458,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-09-02
459,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-09-09
460,302,492,391,2485,1178,509,1975,66,1993-09-16
461,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-09-18
462,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-09-25
463,2443,2616,2848,3774,3879,3235,1335,224,1993-10-02
464,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-10-04
465,250,366,318,2020,992,365,1745,66,1993-10-18
466,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-10-20
467,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-10-27
468,315,386,372,1811,1026,407,2015,66,1993-11-03
469,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-11-05
470,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-11-12
471,287,409,279,1879,788,403,1745,66,1993-11-19
472,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-11-21
473,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-11-28
474,223,257,205,1842,697,250,1235,66,1993-12-05
475,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-12-07
476,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-12-23
477,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1993-12-30
478,176,288,222,1288,635,192,945,66,1994-01-06
479,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-01-08
480,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-01-15
481,323,487,322,1735,754,392,1235,72,1994-01-22
482,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-01-24
483,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-01-31
484,1644,1752,1779,2403,1538,1095,-805,224,1994-02-07
485,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-02-09
486,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-02-16
487,1625,1779,1664,2627,1697,1128,-1155,224,1994-02-23
488,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-02-25
489,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-03-04
490,232,397,338,2117,899,342,1565,66,1994-03-11
491,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-03-13
492,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-03-20
493,302,375,320,2565,1091,467,1795,66,1994-03-27
494,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-03-29
495,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-04-05
496,637,882,707,2902,1451,741,1285,66,1994-04-12
497,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-04-14
498,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-04-21
499,317,545,377,2818,1204,479,1975,66,1994-04-28
500,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-04-30
501,305,484,370,2950,1294,569,2065,66,1994-05-14
502,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-05-16
503,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-05-23
504,3280,3472,3419,4248,2180,1593,-2115,224,1994-05-30
505,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-06-01
506,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-06-08
507,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-06-17
508,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-06-24
509,245,479,338,3056,1342,536,2705,66,1994-07-01
510,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-07-03
511,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-07-10
512,392,610,499,2932,1316,579,2705,66,1994-07-17
513,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-07-19
514,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-07-26
515,305,514,390,2929,1322,593,2365,66,1994-08-02
516,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-08-04
517,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-08-11
518,364,549,445,2761,1224,509,2585,66,1994-08-18
519,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-08-20
520,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-08-27
521,302,499,435,2452,1171,571,2545,66,1994-09-03
522,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-09-05
523,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-09-12
524,452,646,547,2264,1038,358,2285,66,1994-09-19
525,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-09-21
526,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-10-07
527,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-10-14
528,253,447,336,1954,894,430,2155,66,1994-10-21
529,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-10-23
530,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-10-30
531,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-11-06
532,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-11-15
533,208,286,180,1393,649,424,1045,66,1994-11-22
534,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-11-24
535,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-12-01
536,488,564,574,1764,915,542,495,66,1994-12-08
537,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-12-10
538,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-12-17
539,7387,7633,7479,7595,2929,2460,-3505,224,1994-12-24
540,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1994-12-26
541,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-01-02
542,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-01-11
543,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-01-18
544,5739,6185,6248,6779,6107,5081,185,224,1995-01-25
545,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-01-27
546,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-02-03
547,6637,6775,6993,7121,6439,5113,545,224,1995-02-10
548,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-02-12
549,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-02-19
550,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-03-07
551,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-03-16
552,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-03-23
553,232,416,330,2461,1039,387,1615,66,1995-03-30
554,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-04-01
555,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-04-08
556,20000,4294,4285,5071,2056,1568,-2965,224,1995-04-15
557,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-04-17
558,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-04-24
559,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-05-03
560,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-05-10
561,372,589,486,3010,1206,445,1835,66,1995-05-17
562,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-05-19
563,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-05-26
564,20000,7852,20000,8302,6038,3745,395,224,1995-06-02
565,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-06-04
566,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-06-11
567,757,910,870,3025,1550,887,1285,96,1995-06-18
568,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-06-20
569,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-06-27
570,329,535,413,3336,1273,487,2235,66,1995-07-04
571,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-07-06
572,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-07-13
573,20000,8091,20000,8456,20000,4980,1045,224,1995-07-20
574,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-07-22
575,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-07-29
576,363,500,409,2477,905,357,2455,66,1995-08-05
577,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-08-07
578,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-08-14
579,497,702,600,3160,1294,576,2195,66,1995-08-21
580,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-08-23
581,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-08-30
582,263,403,321,2798,1118,467,2875,66,1995-09-06
583,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-09-08
584,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-09-15
585,2247,2522,2590,3521,3678,2898,1425,224,1995-09-22
586,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-09-24
587,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-10-01
588,500,475,525,2426,1046,455,1835,66,1995-10-08
589,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-10-10
590,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-10-17
591,280,452,327,1988,995,356,1975,66,1995-10-24
592,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-10-26
593,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-11-02
594,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-11-11
595,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-11-18
596,319,274,338,1418,773,402,1795,66,1995-11-25
597,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-12-02
598,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-12-04
599,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1995-12-20
600,301,353,262,1312,554,303,1235,66,1995-12-27
601,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-01-05
602,498,425,320,1738,532,132,1235,66,1996-01-12
603,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-01-21
604,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-02-06
605,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-02-22
606,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-03-09
607,321,419,318,2539,1056,386,1615,66,1996-03-16
608,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-03-25
609,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-04-10
610,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-04-26
611,325,465,318,3098,1215,448,2195,66,1996-05-03
612,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-05-12
613,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-05-19
614,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-05-28
615,268,481,338,3254,1183,393,2915,66,1996-06-04
616,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-06-13
617,1116,1355,1343,3127,2093,1310,1475,224,1996-06-20
618,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-06-29
619,244,455,315,3251,1280,574,2915,66,1996-07-06
620,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-07-15
621,686,867,828,3093,1612,836,1925,72,1996-07-22
622,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-07-31
623,341,564,428,2991,1259,563,2545,66,1996-08-07
624,435,596,450,2694,1283,511,2585,66,1996-08-23
625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-09-01
626,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-09-17
627,398,453,487,2408,928,402,2015,66,1996-09-24
628,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-10-03
629,2879,3257,3564,4397,5048,4283,1235,224,1996-10-10
630,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-10-19
631,199,364,263,1925,975,436,1705,66,1996-10-26
632,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-11-04
633,685,795,646,1848,975,452,1335,72,1996-11-11
634,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-11-20
635,247,348,277,1641,531,191,1235,66,1996-12-13
636,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1996-12-22
637,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-01-07
638,2674,2597,2681,3598,3518,3150,-2455,224,1997-01-14
639,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-01-23
640,1211,1317,1109,2053,1270,935,-25,224,1997-01-30
641,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-02-08
642,847,1003,911,2342,1364,802,395,160,1997-02-15
643,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-02-24
644,1571,1801,1856,3915,3004,2185,605,224,1997-03-03
645,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-03-12
646,588,722,687,2827,1267,659,1425,72,1997-03-19
647,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-03-28
648,297,449,361,2657,1206,513,2065,66,1997-04-04
649,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-04-13
650,3562,3742,3675,4487,2804,2104,-1655,224,1997-04-20
651,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-04-29
652,380,584,510,2537,1271,673,1745,66,1997-05-06
653,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-05-15
654,1068,1198,1309,3247,2118,1225,185,224,1997-05-22
655,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-05-31
656,260,526,379,3211,1352,521,2915,66,1997-06-07
657,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-06-16
658,263,437,331,3176,1282,511,2955,66,1997-06-23
659,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-07-02
660,283,502,387,3263,1339,602,2545,66,1997-07-09
661,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-07-18
662,271,496,405,3091,1307,541,2665,66,1997-07-25
663,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-08-03
664,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-08-10
665,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-08-19
666,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-09-04
667,1037,1071,1132,1979,1941,1432,1835,224,1997-09-11
668,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-09-20
669,262,324,241,2411,1058,397,2795,66,1997-09-27
670,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-10-06
671,276,284,214,2212,932,386,2455,66,1997-10-13
672,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-10-22
673,3295,3588,3618,4086,3802,3006,85,224,1997-11-14
674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-11-23
675,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-11-30
676,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-12-09
677,386,523,413,1627,766,398,795,66,1997-12-16
678,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1997-12-25
679,1759,1899,1681,2820,1640,1171,-465,224,1998-01-01
680,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-01-10
681,188,380,248,1623,595,247,1475,66,1998-01-17
682,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-01-26
683,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-02-11
684,334,409,342,2133,853,290,1145,66,1998-02-18
685,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-02-27
686,244,340,251,2228,918,293,1045,66,1998-03-06
687,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-03-15
688,20000,6388,6462,7310,5797,4618,-1845,224,1998-03-22
689,20000,5440,5493,6018,4891,3939,-75,224,1998-04-07
690,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-04-16
691,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-05-02
692,1443,1761,1626,4118,2595,1708,845,224,1998-05-09
693,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-05-18
694,440,614,474,2748,977,410,1285,66,1998-05-25
695,20000,7447,20000,7518,5069,3330,-805,224,1998-06-10
696,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-06-19
697,262,483,318,3574,1396,575,2415,66,1998-06-26
698,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-07-05
699,260,423,324,3579,1375,553,2705,66,1998-07-12
700,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-07-14
701,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-07-21
702,278,464,324,3377,1245,500,2195,66,1998-07-28
703,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-08-06
704,322,500,409,3055,1178,416,2755,66,1998-08-13
705,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-08-22
706,270,412,337,3042,1174,389,2545,66,1998-08-29
707,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-08-31
708,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-09-07
709,344,539,434,2712,1053,490,2285,66,1998-09-14
710,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-09-16
711,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-09-23
712,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-09-30
713,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-10-09
714,238,392,298,2211,900,342,2015,66,1998-10-16
715,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-10-25
716,467,374,309,1323,512,121,1045,96,1998-11-01
717,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-11-10
718,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-11-19
719,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-11-26
720,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-12-12
721,249,319,255,1724,632,243,845,66,1998-12-19
722,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-12-21
723,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1998-12-28
724,2484,2715,2714,3545,3803,3533,-1975,224,1999-01-04
725,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-01-06
726,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-01-13
727,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-01-22
728,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-01-29
729,348,401,331,1642,537,204,795,72,1999-02-05
730,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-02-14
731,244,374,311,1936,709,325,1045,66,1999-02-21
732,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-02-23
733,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-03-02
734,371,440,333,1511,530,197,795,66,1999-03-09
735,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-03-11
736,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-03-18
737,567,686,573,1362,744,503,845,96,1999-03-25
738,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-03-27
739,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-04-03
740,367,589,496,3135,1368,650,1285,66,1999-04-10
741,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-04-12
742,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-04-19
743,3685,3885,3989,5357,4120,3231,-295,224,1999-04-26
744,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-05-14
745,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-05-21
746,441,595,519,3103,1316,506,1885,66,1999-05-28
747,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-05-30
748,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-06-06
749,224,444,372,3329,1287,480,2365,66,1999-06-13
750,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-06-15
751,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-06-22
752,283,519,348,3313,1317,549,3285,66,1999-06-29
753,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-06-30
754,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-07-01
755,235,481,312,3275,1218,414,2635,66,1999-07-07
756,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-07-08
757,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-07-09
758,360,530,438,3313,1341,592,2495,66,1999-07-15
759,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-07-16
760,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-07-17
761,20000,20000,20000,20000,20000,4947,815,224,1999-07-23
762,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-07-24
763,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-07-25
764,300,515,397,3108,1228,573,2105,66,1999-07-31
765,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-08-01
766,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-08-02
767,2907,3271,3687,4520,5039,4128,1105,224,1999-08-08
768,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-08-09
769,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-08-10
770,323,499,378,2963,1241,509,2415,66,1999-08-16
771,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-08-17
772,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-08-18
773,297,471,369,2832,1161,478,2635,66,1999-08-24
774,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-08-25
775,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-08-26
776,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-09-02
777,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-09-03
778,1531,1704,1737,3321,3070,2206,1815,224,1999-09-09
779,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-09-10
780,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1999-09-11
